index,file,group,row,column,source_paths,viewbox_x,viewbox_y,viewbox_w,viewbox_h
148,03_vertical/148_vertical_r14_c02.svg,vertical,14,2,16,482.6018,1097.07,64.1914,107.238
149,03_vertical/149_vertical_r15_c01.svg,vertical,15,1,5,418.1835,1077.225,63.0469,95.8163
150,03_vertical/150_vertical_r15_c02.svg,vertical,15,2,15,483.1755,1196.8275,63.0469,106.0898
151,03_vertical/151_vertical_r16_c01.svg,vertical,16,1,6,417.6135,1165.9125,64.1914,96.9645
152,03_vertical/152_vertical_r16_c02.svg,vertical,16,2,16,482.6018,1295.43,64.1914,107.238
153,03_vertical/153_vertical_r17_c01.svg,vertical,17,1,5,418.1835,1255.755,63.0469,95.8163
154,03_vertical/154_vertical_r17_c02.svg,vertical,17,2,15,483.1755,1395.18,63.0469,106.086
155,03_vertical/155_vertical_r18_c01.svg,vertical,18,1,6,417.6135,1344.4425,64.1914,96.9645
156,03_vertical/156_vertical_r18_c02.svg,vertical,18,2,16,482.6018,1493.79,64.1914,107.2342
157,03_vertical/157_vertical_r19_c01.svg,vertical,19,1,2,426.6293,1439.4525,46.1602,46.1651
158,03_vertical/158_vertical_r19_c02.svg,vertical,19,2,2,491.6175,1598.7,46.16,46.1651
159,03_vertical/159_vertical_r20_c01.svg,vertical,20,1,3,418.1835,1434.2775,63.0469,95.8163
160,03_vertical/160_vertical_r20_c02.svg,vertical,20,2,13,483.1755,1593.5475,63.0469,106.0898
161,03_vertical/161_vertical_r21_c01.svg,vertical,21,1,6,417.6135,1522.9725,64.1914,96.9645
162,03_vertical/162_vertical_r21_c02.svg,vertical,21,2,16,482.6018,1692.1575,64.1914,107.238
163,03_vertical/163_vertical_r22_c01.svg,vertical,22,1,5,418.1835,1612.815,63.0469,95.8163
164,03_vertical/164_vertical_r22_c02.svg,vertical,22,2,15,483.1755,1791.915,63.0469,106.0898
165,03_vertical/165_vertical_r23_c01.svg,vertical,23,1,6,417.6135,1701.5025,64.1914,96.9645
166,03_vertical/166_vertical_r23_c02.svg,vertical,23,2,16,482.6018,1890.525,64.1914,107.238
